Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
2022,1.39,1.39,1.39,1.39,24.77 ,24.77 ,24.77 ,24.77 ,93.43 , 93.43,93.43 ,93.43
2021,-15.32,-15.32,-15.32,-15.32,-15.32 ,-15.32 ,-15.32 ,-15.32 ,-15.32 ,-15.32 ,-15.32 ,-15.32 
2020,-11.6,-11.6,-11.6,-11.6,-11.60 ,-11.60 ,-11.60 ,-11.60 ,-12.43 ,-12.43 ,-12.43 ,-12.43 
2019,-11.6,-11.6,-11.6,-11.6,-11.6,-11.60 ,-11.60 ,-11.60 ,-11.60 ,-11.60 ,-11.60 , -11.60
2018,-15.9,-15.9,-15.9,-15.9,-15.90 ,-15.90 ,-15.90 , -15.90,-15.90 ,-15.90 ,-15.90 ,-15.90 
2017,-37.29,-37.29,-37.29,-37.29,-24.77 ,-24.77 ,-24.77 ,-24.77 , -15.90,-15.9,-15.90 ,-15.90 
2016,-4.8,-4.8,-4.8,-4.8,-33.29,-33.29,-33.29,-33.29,-33.29,-33.29,-33.29,-33.29
2015,58.96,58.96,58.96,58.96,49.61,49.61,49.61,49.61,46.38,46.38,46.38,46.38
2014,59,59,59,59,69,69,69,69,69,69,69,69
2013,52.04,52.04,52.04,52.04,46.92,46.92,46.92,46.92,54,54,54,54
2012,0,0,0,0,0,30,30,30,48,48,48,48
2011,86.88,86.88,86.88,86.88,95.81,95.81,-6,-6,-6,-6,-6,-6
2010,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55
2009,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55
2008,66.11,68.86,68.86,68.86,68.86,62.85,62.85,62.85,62.85,77.7,77.7,77.7
2007,78.42,73.42,73.42,73.42,73.42,68.42,68.42,68.42,68.42,66.11,66.11,66.11
2006,56.83,75.84,75.84,75.84,75.84,85.44,85.44,85.44,85.44,78.42,78.42,78.42
2005,43.28,43.28,43.28,43.28,43.28,46.83,46.83,46.83,46.83,56.83,56.83,56.83
2004,26.12,38.28,38.28,38.28,38.28,38.28,38.28,38.28,38.28,43.28,43.28,43.28
2003,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12
2002,22.77,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95
